[ 2026-07-19 20:00:01,993 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-07-19 20:00:02,006 ] 107 dagshub - INFO - Accessing as shloksutariya2
[ 2026-07-19 20:00:03,008 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/shloksutariya2/NetworkSecurity2 "HTTP/1.1 200 OK"
[ 2026-07-19 20:00:04,219 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-07-19 20:00:04,223 ] 107 dagshub - INFO - Initialized MLflow to track repo "shloksutariya2/NetworkSecurity2"
[ 2026-07-19 20:00:04,223 ] 107 dagshub - INFO - Repository shloksutariya2/NetworkSecurity2 initialized!
[ 2026-07-19 20:00:04,224 ] 20 root - INFO - Initiate the data ingestion
[ 2026-07-19 20:00:11,393 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-07-19 20:00:11,393 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-19 20:00:11,393 ] 75 root - INFO - Exporting train and test file path.
[ 2026-07-19 20:00:11,427 ] 84 root - INFO - Exported train and test file path.
[ 2026-07-19 20:00:11,427 ] 22 root - INFO - Data Initiation Completed
[ 2026-07-19 20:00:11,430 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-19 20:00:11,442 ] 32 root - INFO - Required number of columns:2
[ 2026-07-19 20:00:11,442 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-19 20:00:11,442 ] 32 root - INFO - Required number of columns:2
[ 2026-07-19 20:00:11,442 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-19 20:00:11,556 ] 28 root - INFO - data Validation Completed
[ 2026-07-19 20:00:11,556 ] 31 root - INFO - data Transformation started
[ 2026-07-19 20:00:11,556 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-19 20:00:11,556 ] 65 root - INFO - Starting data transformation
[ 2026-07-19 20:00:11,568 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-19 20:00:11,568 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-19 20:00:11,576 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-19 20:00:11,581 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-19 20:00:11,581 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-19 20:00:11,587 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-19 20:00:11,587 ] 35 root - INFO - data Transformation completed
[ 2026-07-19 20:00:11,587 ] 37 root - INFO - Model Training sstared
